,member_id,loan_amnt,funded_amnt,funded_amnt_inv,installment,annual_inc,url,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,deferral_term,hardship_amount,hardship_length,hardship_dpd,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,settlement_amount,settlement_percentage,settlement_term
count,0.0,103546.0,103546.0,103546.0,103546.0,103546.0,0.0,103518.0,103546.0,103546.0,55772.0,21080.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,30665.0,103546.0,4136.0,4136.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,100908.0,103546.0,91094.0,103546.0,103546.0,103546.0,103540.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,102201.0,102155.0,103546.0,103546.0,100908.0,103546.0,103546.0,103546.0,103546.0,102279.0,26626.0,91867.0,38025.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,97908.0,103546.0,103546.0,103546.0,103546.0,102198.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,469.0,469.0,469.0,421.0,469.0,469.0,213.0,213.0,213.0
mean,,14151.435835280938,14151.435835280938,14145.23810673517,433.7453274873003,80737.79910146215,,18.770565022508165,0.3644563768759778,0.5582060147180963,33.64962705300151,68.37803605313093,11.728400903946072,0.27016977961485716,16367.981399571205,23.982587449056457,8560.123593668515,8556.457770073206,6686.035670901675,6683.108555907519,5105.007171112356,1563.6149821335446,0.765577617724336,16.647940239120775,2.9558834566270664,2305.3377828864077,0.021816390782840478,45.073145279634765,1.0,113979.79752417795,18.034579303675045,0.006422266432310277,275.4353620613061,144892.95200200877,1.0032063044444015,2.8674985030807565,0.6813203793483089,1.6380449268923956,20.348822689975027,36577.15461727155,70.47968033020835,1.34399204218415,2.801730631796496,5716.711828559288,59.83332045586247,33419.415950398856,0.9518764607034554,1.4565989994784927,2.095204063894308,4.697738203310606,13678.4144727947,10720.2366317355,58.31409426851352,0.008537268460394414,24.724479941282137,126.55623934673167,184.11683696135051,13.809398721341239,7.893216541440519,1.501323083460491,24.407327017276273,38.06925561481259,6.865501213711126,34.55655489809336,0.5643675274757113,3.651497884997972,5.613379560774922,4.709143762192649,7.388841674231743,8.62598265505186,8.122312788519112,13.628928205821568,5.526645162536457,11.677071060205126,0.0010111533276136783,0.004201031425646573,0.09686516137755201,2.1502424043420314,93.29794487474166,42.55058513865242,0.14978849979719158,0.07752110173256331,180475.4770923068,53128.6343847179,22229.36005253704,46259.77071060205,,,,,,,,,,,,3.0,187.32901918976546,3.0,8.782515991471215,555.7982422802851,13919.803603411514,195.75999999999996,6758.17267605634,51.553286384976516,15.4037558685446
std,,9215.03237609733,9215.03237609733,9212.518145724112,279.7393986058786,77232.20542185521,,11.611867047442493,0.9565486010783099,0.8597406103765591,21.819781292354257,24.917074317939296,5.771741700408403,0.6732616030231565,22675.729352367696,11.916734152151978,7938.448330493153,7936.288112338268,6296.128553278839,6294.07253596136,5905.970047859371,1403.1637305133056,6.686374661406554,252.6649907400336,43.55151885276556,5511.169114847695,0.1664772724625634,22.325083884251786,0.0,53592.5694786818,6.830180214143368,0.08638713949835658,3278.998423591255,164569.15197669514,1.1816229935163554,3.041550874166597,0.9395778864164317,1.6136797672945309,25.367983936405867,44448.995980074134,23.05991723165413,1.5249921054930247,2.5884284146821708,5296.596961200407,20.22106823824235,34127.64233923943,1.4950824809798886,2.6449161055331003,2.417737259977828,3.256738128125264,16393.422101744036,15652.259447433711,28.087373135660204,0.10749376271198663,1101.543171501516,53.24677978089161,98.68444310278568,17.715885752024807,8.826496385332018,1.8115054963180635,33.02078547081958,22.59769425493002,5.965305949236554,22.211142647037107,1.4467865335435965,2.3545709938230344,3.4199995565909025,3.1307084635835083,4.578839808161133,7.498339221703047,4.723582381373909,7.9467633926084105,3.277308386944597,5.747034205952143,0.03241907325934508,0.0678848965555289,0.561642239533746,1.9021748468173756,9.629024605591203,36.435200890210346,0.4013447429167517,0.45351533738970323,186724.37673203408,51862.406283533004,22059.15671616727,46806.09864002134,,,,,,,,,,,,0.0,144.06940657693124,0.0,10.2166506285826,424.8349642449387,8329.629779817304,226.4524221081163,4461.377615297141,9.749575486532567,6.374061897424136
min,,1000.0,1000.0,950.0,30.12,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13470.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,,,,,,,,,,,,3.0,5.38,3.0,0.0,32.49,665.09,0.01,856.0,0.65,1.0
25%,,7000.0,7000.0,7000.0,230.47,48000.0,,12.46,0.0,0.0,15.0,52.0,8.0,0.0,5912.0,15.0,2110.87,2107.305,2883.8,2880.56,1829.6725000000001,553.255,0.0,0.0,0.0,254.37,0.0,28.0,1.0,80000.0,13.24,0.0,0.0,30063.25,0.0,1.0,0.0,1.0,7.0,9763.25,57.0,0.0,1.0,2375.0,46.0,14200.0,0.0,0.0,0.0,2.0,3190.0,1725.0,36.3,0.0,0.0,100.0,119.0,4.0,3.0,0.0,6.0,20.0,2.0,16.0,0.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,3.0,8.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,51729.25,21713.0,8000.0,16689.25,,,,,,,,,,,,3.0,78.03,3.0,0.0,229.59,7297.07,9.22,3469.03,45.0,12.0
50%,,12000.0,12000.0,12000.0,356.48,67515.0,,18.28,0.0,0.0,30.0,71.0,11.0,0.0,10900.0,22.0,6820.16,6818.53,4733.49,4732.6,3063.75,1110.4,0.0,0.0,0.0,426.52,0.0,45.0,1.0,105000.0,17.84,0.0,0.0,81229.0,1.0,2.0,0.0,1.0,13.0,24034.0,73.0,1.0,2.0,4383.0,61.0,24500.0,0.0,0.0,1.0,4.0,7507.0,5337.0,60.1,0.0,0.0,131.0,166.0,8.0,5.0,1.0,13.0,35.0,5.0,31.0,0.0,3.0,5.0,4.0,6.0,7.0,7.0,12.0,5.0,11.0,0.0,0.0,0.0,2.0,96.9,37.5,0.0,0.0,114912.0,39096.0,15700.0,34772.0,,,,,,,,,,,,3.0,148.7,3.0,0.0,441.75,12003.93,118.37,5725.0,49.99,18.0
75%,,20000.0,20000.0,20000.0,581.58,96000.0,,24.59,0.0,1.0,49.0,86.0,15.0,0.0,19382.75,30.0,13136.644999999999,13136.49,8259.32,8256.84,5711.5625,2147.0099999999998,0.0,0.0,0.0,823.69,0.0,63.0,1.0,135358.0,22.482499999999998,0.0,0.0,215159.0,2.0,3.0,1.0,2.0,22.0,47145.0,86.0,2.0,4.0,7354.0,74.0,41400.0,1.0,2.0,3.0,6.0,18916.0,13333.0,83.2,0.0,0.0,154.0,237.0,17.0,10.0,2.0,29.0,55.0,10.0,49.0,1.0,5.0,7.0,6.0,10.0,11.0,10.0,18.0,7.0,15.0,0.0,0.0,0.0,3.0,100.0,71.4,0.0,0.0,258837.75,66964.5,28800.0,61722.75,,,,,,,,,,,,3.0,250.99,3.0,18.0,747.42,19475.69,290.48,8997.0,60.0,18.0
max,,40000.0,40000.0,40000.0,1584.9,7000055.0,,999.0,29.0,5.0,195.0,120.0,97.0,24.0,704449.0,137.0,37031.13,37031.13,50669.1801956214,50669.18,40000.0,11166.02,329.25,27850.0,5013.0,41399.44,9.0,195.0,1.0,1050000.0,55.52,6.0,848438.0,5172185.0,14.0,45.0,13.0,20.0,511.0,1044916.0,275.0,26.0,37.0,226839.0,172.0,1146300.0,48.0,44.0,34.0,45.0,478383.0,711140.0,201.9,7.0,185408.0,534.0,789.0,373.0,314.0,61.0,570.0,137.0,25.0,140.0,51.0,33.0,52.0,71.0,79.0,113.0,91.0,108.0,43.0,97.0,2.0,3.0,29.0,29.0,100.0,100.0,8.0,24.0,9999999.0,1092321.0,719500.0,1204116.0,,,,,,,,,,,,3.0,735.19,3.0,29.0,2205.57,36605.83,1377.17,27850.0,95.05,24.0
