,loan_amnt,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,acc_now_delinq,pub_rec_bankruptcies,tax_liens
count,103546.0,103546.0,103546.0,103518.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0,103546.0
mean,14151.435835280938,433.7453274873003,80737.79910146215,18.770565022508165,0.3644563768759778,0.5582060147180963,11.728400903946072,0.27016977961485716,16367.981399571205,23.982587449056457,0.006422266432310277,0.14978849979719158,0.07752110173256331
std,9215.03237609733,279.7393986058786,77232.20542185521,11.611867047442493,0.9565486010783099,0.8597406103765591,5.771741700408403,0.6732616030231565,22675.729352367696,11.916734152151978,0.08638713949835658,0.4013447429167517,0.45351533738970323
min,1000.0,30.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
25%,7000.0,230.47,48000.0,12.46,0.0,0.0,8.0,0.0,5912.0,15.0,0.0,0.0,0.0
50%,12000.0,356.48,67515.0,18.28,0.0,0.0,11.0,0.0,10900.0,22.0,0.0,0.0,0.0
75%,20000.0,581.58,96000.0,24.59,0.0,1.0,15.0,0.0,19382.75,30.0,0.0,0.0,0.0
max,40000.0,1584.9,7000055.0,999.0,29.0,5.0,97.0,24.0,704449.0,137.0,6.0,8.0,24.0
